Escenario,ID_SIGA,Q5(m3.d-1),CE(uS.cm-1),ODs(kg.m-3),CDBO5(kg.m-3),EC(ufc.m-3),SST(kg.m-3),NO3(kg.m-3),NH4(kg.m-3),NO(kg.m-3),PO(kg.m-3),PI(kg.m-3),PT(kg.m-3),Fecha
80,30,1.3068340277777777,25.79343958333333,6.771763888888889,0.0,11847.265486111111,51.94229166666667,0.017777777777777778,0.03195138888888889,0.017270833333333332,0.0026319444444444446,0.03236111111111111,0.035006944444444445,2012-01-01
80,30,1.283054861111111,25.600091666666668,6.7442013888888885,0.0,13153.41736388889,53.192125000000004,0.022041666666666668,0.035819444444444445,0.01882638888888889,0.002888888888888889,0.03255555555555555,0.035500000000000004,2013-01-01
80,30,1.067523611111111,25.4613375,6.725180555555556,0.0,13509.009116666666,41.79936111111111,0.0246875,0.040125,0.020416666666666666,0.0031736111111111114,0.03497222222222222,0.03810416666666667,2014-01-01
80,30,0.72896875,25.2814625,6.699645833333333,0.0,9407.630890972221,18.087604166666665,0.03304861111111111,0.04497222222222222,0.02220138888888889,0.0038125000000000004,0.03850694444444444,0.04222916666666667,2015-01-01
80,30,1.1643333333333332,25.090439583333332,6.6723333333333334,0.0,16220.937861111111,55.18779166666667,0.03240277777777778,0.045347222222222226,0.020430555555555556,0.003326388888888889,0.03734027777777778,0.04069444444444445,2016-01-01
80,30,1.1826520833333332,25.503357638888886,6.731020833333334,0.0,13596.002713888889,49.628618055555556,0.02258333333333333,0.035708333333333335,0.01936111111111111,0.0030555555555555557,0.0334375,0.03639583333333333,2017-01-01
80,30,1.0607298611111111,25.86847152777778,6.7818958333333335,0.0,11078.190684027777,42.96867361111111,0.02663888888888889,0.04107638888888889,0.021124999999999998,0.003347222222222222,0.035402777777777776,0.03873611111111111,2018-01-01
80,30,0.6690645833333333,25.406147916666665,6.717423611111111,0.0,5583.935636111111,20.30525,0.043083333333333335,0.052506944444444446,0.025374999999999998,0.004201388888888889,0.042798611111111114,0.04696527777777778,2019-01-01
80,30,0.8880875,25.19463888888889,6.687048611111111,0.0,5743.522315277778,36.52061111111111,0.037125,0.050020833333333334,0.02265972222222222,0.0036180555555555558,0.04061805555555556,0.044180555555555556,2020-01-01
80,30,1.247798611111111,25.392961111111113,6.715604166666667,0.0,8019.440969444444,52.42780555555556,0.021013888888888888,0.035569444444444445,0.018305555555555558,0.002777777777777778,0.03293055555555555,0.035673611111111114,2021-01-01
80,31,2.042172222222222,25.467372222222224,6.721972222222223,0.0,6445.286285416667,24.188590277777777,0.11906944444444445,0.12358333333333332,0.013909722222222223,0.004562500000000001,0.034847222222222224,0.03942361111111111,2010-01-01
80,31,2.0331930555555555,26.243000000000002,6.829618055555556,0.0,8167.868009027778,20.29136111111111,0.08898611111111111,0.11018055555555556,0.012694444444444446,0.0041111111111111105,0.02826388888888889,0.03236805555555556,2011-01-01
80,31,1.7968513888888888,25.80982361111111,6.7711875,0.0,6907.715436111112,13.613145833333332,0.09335416666666667,0.11590277777777779,0.0130625,0.004395833333333333,0.029569444444444443,0.033902777777777775,2012-01-01
80,31,1.8175881944444445,25.60512291666667,6.742090277777778,0.0,7893.925687500001,18.342430555555556,0.10745138888888889,0.12372916666666667,0.013819444444444445,0.004631944444444445,0.03151388888888889,0.03615972222222222,2013-01-01
80,31,1.4087472222222222,25.463463194444444,6.722604166666667,0.0,7560.284885416666,11.594048611111111,0.1297222222222222,0.1426527777777778,0.01554861111111111,0.0054375000000000005,0.037145833333333336,0.0425625,2014-01-01
80,31,0.9826298611111112,25.253755555555557,6.692847222222222,0.0,4558.969755555556,5.1239027777777775,0.16672222222222222,0.15970833333333334,0.016645833333333332,0.006333333333333333,0.04561111111111111,0.051868055555555556,2015-01-01
80,31,1.5219048611111112,25.064834722222223,6.665680555555555,0.0,9906.93912638889,16.66636111111111,0.15954861111111113,0.15203472222222222,0.015291666666666667,0.005645833333333333,0.041833333333333333,0.04752777777777778,2016-01-01
80,31,1.4579097222222221,25.44888611111111,6.720472222222223,0.0,6848.859915277778,11.837638888888888,0.13127083333333334,0.13640277777777776,0.015097222222222222,0.005513888888888889,0.035909722222222225,0.04140972222222222,2017-01-01
80,31,1.213145138888889,25.860649305555555,6.777979166666666,0.0,5013.862139583333,10.402034722222222,0.16441666666666666,0.16003472222222223,0.017277777777777777,0.006277777777777778,0.042131944444444444,0.04841666666666667,2018-01-01
80,31,0.73858125,25.42664097222222,6.717458333333333,0.0,2263.2363,4.911215277777778,0.22625694444444447,0.19597222222222221,0.01945138888888889,0.007576388888888889,0.057479166666666665,0.06502083333333333,2019-01-01
80,31,1.0493729166666668,25.307136111111113,6.699840277777778,0.0,2749.1665965277775,8.106527777777778,0.19275,0.17793055555555556,0.016368055555555556,0.006520833333333333,0.050819444444444445,0.05735416666666667,2020-01-01
80,31,1.616954861111111,25.472670833333336,6.723965277777777,0.0,3947.974391666667,11.99875,0.10851388888888888,0.12436111111111112,0.012736111111111111,0.004576388888888889,0.03340972222222222,0.03799305555555556,2021-01-01
80,32,0.9190534722222223,25.718919444444442,6.879923611111111,0.0,8987.09537638889,62.18855555555555,0.19303472222222223,0.2774236111111111,0.07606944444444445,0.005666666666666666,0.042069444444444444,0.04775694444444444,2010-01-01
80,32,0.844975,26.466878472222223,6.984805555555556,0.0,9920.244334722222,49.337854166666666,0.12527083333333333,0.23554861111111108,0.0721875,0.004868055555555556,0.037020833333333336,0.041861111111111106,2011-01-01
80,32,0.8111937499999999,26.029405555555556,6.925131944444445,0.0,8523.472581944445,48.65629861111111,0.12952083333333334,0.24424999999999997,0.07315972222222222,0.005027777777777778,0.03871527777777778,0.04377777777777778,2012-01-01
80,32,0.7939472222222222,25.82128888888889,6.895326388888889,0.0,9690.706266666668,47.89076388888889,0.1596736111111111,0.2655138888888889,0.0797361111111111,0.005625000000000001,0.040375,0.046,2013-01-01
80,32,0.6640708333333333,25.745883333333335,6.885076388888889,0.0,9760.25699236111,37.89556944444444,0.18766666666666668,0.29991666666666666,0.08852777777777777,0.006500000000000001,0.04552777777777778,0.052000000000000005,2014-01-01
80,32,0.4651715277777778,25.496,6.8493055555555555,0.0,6297.974936805555,21.621673611111113,0.24891666666666667,0.33043055555555556,0.09632638888888889,0.007694444444444445,0.05677777777777778,0.06438888888888888,2015-01-01
80,32,0.738354861111111,25.285439583333336,6.818805555555556,0.0,11897.153447916666,48.18245833333334,0.22557638888888887,0.3194236111111111,0.08599305555555554,0.006590277777777777,0.047937499999999994,0.0545,2016-01-01
80,32,0.7359729166666666,25.67117986111111,6.874430555555556,0.0,9924.566949305556,42.00675,0.1713402777777778,0.26769444444444446,0.08575694444444444,0.006145833333333333,0.043055555555555555,0.049180555555555554,2017-01-01
80,32,0.64355,26.105525,6.935625,0.0,8126.797600000001,34.809875000000005,0.20840277777777777,0.3113888888888889,0.09292361111111111,0.006881944444444444,0.04716666666666666,0.05403472222222222,2018-01-01
80,32,0.37168541666666666,25.735333333333333,6.8836875,0.0,3652.035730555556,18.876,0.33572916666666663,0.3825,0.10063194444444444,0.009069444444444444,0.06863194444444445,0.07771527777777779,2019-01-01
80,32,0.5430354166666667,25.754661111111112,6.885166666666667,0.0,4204.229752777778,34.330645833333335,0.2738611111111111,0.3531736111111111,0.08665972222222222,0.007500000000000001,0.06090277777777778,0.06841666666666667,2020-01-01
80,32,0.7665194444444444,25.989961805555556,6.9195625000000005,0.0,5991.984406944444,47.46476388888889,0.14848611111111112,0.2600763888888889,0.076875,0.005277777777777778,0.041180555555555554,0.04640972222222222,2021-01-01
80,33,1.1795284722222223,25.326075694444445,6.990180555555556,0.0,7719.292914583333,114.27493750000001,0.06319444444444444,0.08883333333333333,0.03270833333333333,0.0030902777777777777,0.07770138888888889,0.08082638888888888,2010-01-01
80,33,1.1035340277777776,26.08701041666667,7.101069444444445,0.0,9012.050947222222,97.3369236111111,0.04045138888888889,0.07650694444444445,0.03163888888888889,0.002736111111111111,0.06756944444444445,0.07035416666666666,2011-01-01
80,33,0.9441666666666667,25.64994513888889,7.039159722222222,0.0,8004.379195833333,56.630500000000005,0.04609722222222222,0.08008333333333334,0.033465277777777774,0.0031666666666666666,0.07197916666666666,0.07505555555555556,2012-01-01
80,33,0.9787201388888889,25.443202083333333,7.008284722222222,0.0,9014.999884722223,91.411875,0.057743055555555554,0.08735416666666668,0.035138888888888886,0.0034375,0.07278472222222222,0.07620833333333334,2013-01-01
80,33,0.8686208333333334,25.280953472222222,6.984756944444444,0.0,10118.277633333333,49.48961805555555,0.06315277777777778,0.09790972222222222,0.03697916666666667,0.0036180555555555558,0.07601388888888888,0.07963888888888888,2014-01-01
80,33,0.5603368055555555,25.023809027777776,6.946506944444445,0.0,7354.488668055555,16.270354166666667,0.08838888888888889,0.10882638888888889,0.03985416666666666,0.004409722222222222,0.09090277777777778,0.09527083333333333,2015-01-01
80,33,0.9253493055555556,24.875654166666667,6.923854166666667,0.0,11891.275574305555,65.74818055555555,0.07625,0.10188194444444444,0.0340625,0.003625,0.08009027777777777,0.08369444444444445,2016-01-01
80,33,0.9218069444444443,25.23445486111111,6.977854166666667,0.0,10659.115712499999,54.61261805555556,0.06222916666666667,0.08840972222222222,0.03582638888888889,0.003604166666666667,0.07390972222222222,0.07752777777777778,2017-01-01
80,33,0.8093388888888888,25.68017638888889,7.043270833333334,0.0,8107.296479166666,44.29216666666667,0.077375,0.10490277777777778,0.03934027777777778,0.003993055555555556,0.08074305555555555,0.08466666666666667,2018-01-01
80,33,0.39077708333333333,25.261572222222224,6.982020833333333,0.0,3180.844234027778,14.01967361111111,0.13477777777777777,0.13875694444444445,0.04239583333333333,0.005090277777777778,0.1226111111111111,0.12764583333333335,2019-01-01
80,33,0.5501993055555556,25.23453888888889,6.9764027777777775,0.0,3543.6318340277776,20.739368055555556,0.11597916666666667,0.12681944444444446,0.03398611111111111,0.004263888888888889,0.11552777777777777,0.11977777777777779,2020-01-01
80,33,0.8239958333333334,25.329932638888888,6.992069444444445,0.0,5052.808497222222,46.05589583333333,0.05819444444444445,0.08788888888888889,0.03090277777777778,0.003305555555555556,0.08029166666666666,0.08354166666666667,2021-01-01
80,43,0.09871111111111111,358.3352381944444,6.7933819444444445,0.0,1089642.9333326388,84.46455555555556,0.0017777777777777779,0.03278472222222222,0.0002013888888888889,0.0,0.10354166666666667,0.1035486111111111,2010-01-01
80,43,0.1014423611111111,368.0467888888889,6.8946250000000004,0.0,1337106.7078604167,86.00280555555555,0.0013055555555555555,0.02347916666666667,0.0,0.0,0.10175694444444444,0.10176388888888889,2011-01-01
80,43,0.08269652777777778,363.0606798611111,6.844194444444444,0.0,617209.1435284722,58.76534027777778,0.0016250000000000001,0.03170138888888889,8.333333333333333e-05,0.0,0.027736111111111114,0.027743055555555556,2012-01-01
80,43,0.07736805555555555,362.6793090277778,6.839222222222222,0.0,658337.8947847222,57.09371527777778,0.002840277777777778,0.04115972222222222,5.555555555555556e-05,0.0,0.06040972222222222,0.06040972222222222,2013-01-01
80,43,0.0596548611111111,353.35367430555556,6.742034722222222,0.0,495796.1911888889,34.96711805555556,0.0029444444444444444,0.0463125,0.0002013888888888889,0.0,0.013305555555555555,0.013305555555555555,2014-01-01
80,43,0.04317777777777778,348.60516319444446,6.6906944444444445,0.0,265676.8005951389,17.065618055555557,0.0035902777777777777,0.04927777777777778,1.388888888888889e-05,0.0,0.0,0.0,2015-01-01
80,43,0.05298055555555556,350.20595,6.7079305555555555,0.0,633263.2664125,35.613256944444444,0.0038958333333333336,0.04528472222222222,0.0,0.0,0.01679861111111111,0.01679861111111111,2016-01-01
80,43,0.06845208333333334,353.24581111111115,6.740194444444445,0.0,503130.57740277774,53.44874305555555,0.0024375000000000004,0.036520833333333336,0.0,0.0,0.02697916666666667,0.02697916666666667,2017-01-01
80,43,0.07028055555555555,357.60471180555555,6.786333333333333,0.0,622926.9773534721,52.74828472222222,0.002534722222222222,0.03863194444444444,1.388888888888889e-05,0.0,0.03595138888888889,0.03595138888888889,2018-01-01
80,43,0.05324097222222222,346.4548076388889,6.6680069444444445,0.0,413799.45478263893,31.5268125,0.0033888888888888888,0.04741666666666667,0.00024305555555555558,0.0,0.025083333333333332,0.025083333333333332,2019-01-01
80,43,0.05311805555555556,343.02963958333333,6.629555555555555,0.0,546785.2881645834,33.19875,0.003409722222222222,0.041090277777777774,0.0,0.0,0.01123611111111111,0.01123611111111111,2020-01-01
80,43,0.07478958333333334,346.52342500000003,6.668819444444444,0.0,724224.2585708334,60.998694444444446,0.0019722222222222224,0.030180555555555558,0.0,0.0,0.049729166666666665,0.049729166666666665,2021-01-01
80,44,0.043875694444444446,360.31214375,6.887451388888889,0.0,35138834.093964584,437.6220902777778,0.09214583333333333,1.8143541666666667,0.008069444444444443,0.00028472222222222223,0.03846527777777778,0.03885416666666666,2010-01-01
80,44,0.06159861111111112,370.5685569444444,6.994763888888889,0.0,86746494.6630243,689.0601875,0.02375694444444444,1.462701388888889,0.009534722222222222,0.0001875,0.10957638888888889,0.10978472222222221,2011-01-01
80,44,0.05590625,365.13530972222225,6.939631944444445,0.0,23434444.102026388,695.5542152777778,0.07079861111111112,1.699861111111111,0.00807638888888889,0.00024305555555555558,0.050506944444444445,0.050812500000000003,2012-01-01
80,44,0.05532083333333333,364.51488125,6.9321319444444445,0.0,76549320.26113611,783.6845347222222,0.0842013888888889,1.7241944444444444,0.007631944444444445,0.0002916666666666667,0.09102083333333333,0.09139583333333333,2013-01-01
